,STATION,CensusYear,Year,Month,DATE,Nitrogen_Kjeldahl,TotalSuspendedSolids,Nitrate,Conductivity,DissolvedOxygen,pH,TotalNitrogen,Nitrite,TotalPhosphorus,Chloride,10mLandCover_AgriculturalExtraction,10mLandCover_Anthropogenic,10mLandCover_AnthropogenicNatural,10mLandCover_Natural,Latitude,Longitude,250mLandCover_Agricultural,250mLandCover_Anthropogenic,250mLandCover_Natural,Total Rain (mm) 0day Total,Total Rain (mm) -7day Total,Total Rain (mm) -56day Total,Total Rain (mm) -3day Total,Total Rain (mm) -28day Total,Total Rain (mm) -1day Total,Total Rain (mm) -14day Total
1553,17002113602,2011,2012,8,2012-08-13,1.08,,0.097,502.0,5.59,8.05,1.2,0.023,0.083,23.7,0.0,0.0,0.0,0.0,44.2002268892999,-78.94943135609999,1969.0,0.0,885.0,2.0,43.6,199.6,23.8,128.0,4.2,77.6
4335,6008310402,2016,2015,8,8-20-2015,,6.4,,612.0,7.97,8.37,0.64,0.01,0.156,55.3,0.0,0.0,0.0,0.0,43.92418126404,-79.83452048194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5525,6009700702,2016,2020,7,7-21-2020,0.85,34.0,0.055,875.0,9.28,8.36,,0.011,0.0487,162.0,0.0,0.0,0.0,0.0,43.85933038898,-79.20441685635001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6074,6009701802,2011,2009,12,12-17-2009,0.42,2.7,1.27,837.0,16.0,8.0,,0.006,0.016,70.2,0.0,0.0,0.0,0.0,43.89673301402001,-79.32307035646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2817,6008300402,2016,2017,5,5-16-2017,0.41,9.0,0.16,930.0,11.47,8.41,,0.011,0.0281,121.0,0.0,0.0,0.0,0.0,43.79806763892999,-79.5810577317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6618,6010402702,2016,2016,7,7-18-2016,0.21,11.0,0.07,496.5,10.34,8.54,,0.011,0.0187,20.8,342887.0,82010.0,25745.0,509280.0,43.871484264,-79.06518285621999,728.0,8.0,693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618,6010800202,2006,2007,6,2007-06-26,0.32,,0.735,548.0,13.74,8.47,1.073,0.018,0.02,41.3,195979.0,101383.0,24866.0,138456.0,43.9336066389999,-78.9618889811,479.0,24.0,223.0,0.0,37.5,119.7,0.0,71.89999999999999,0.0,41.9
2381,6008200302,2016,2019,5,5-15-2019,,7.1,,2047.0,15.74,9.35,0.83,0.021,0.023,478.0,0.0,0.0,0.0,0.0,43.62847488877,-79.49287135662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5186,6009400202,2011,2009,2,2-26-2009,1.16,9.0,1.72,5970.0,18.0,8.0,,0.04,0.02,1880.0,0.0,0.0,0.0,0.0,43.77987688891,-79.16791573130999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4391,6008500302,2011,2010,10,10-20-2010,0.4,1.7,0.55,981.0,11.32,8.0,,0.011,0.019,165.0,0.0,0.0,0.0,0.0,43.80312626393,-79.39687998153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
